gene_rank,true_mean,true_q10,true_q90,high_pra_q10,high_pra_q90,high_pra_iou,low_pra_q10,low_pra_q90,low_pra_iou
1,3.6999999999999997,3.232452601882824,4.30022976785313,3.228924577854199,4.253662630601106,0.9532391313434229,3.484579486011783,3.8797794101855168,0.3701146051522925
2,3.6980701029937437,3.2303763043477405,4.298283846703546,3.227691234305769,4.253100398780521,0.9552878308605304,3.4839018192338203,3.879388430325902,0.37033787608582464
3,3.6961415667639215,3.2283014258402307,4.296339066520131,3.226459318066226,4.252539450115176,0.9573393886136106,3.4832258527445568,3.8789979334340328,0.37056004921093605
4,3.6942143809599655,3.2262279579544524,4.294395415822411,3.225228819788672,4.251979773083553,0.9593938109685686,3.4825515781316594,3.878607906134607,0.37078112152327536
5,3.6922885352428594,3.224155892296329,4.292452883143243,3.223999730139327,4.251421356173862,0.9614511043272363,3.4818789869869042,3.8782183350726656,0.3710010900354173
6,3.6903640192853153,3.222085220483704,4.290511457029017,3.2227720397976953,4.250864187884222,0.9622490658885317,3.4812080709063036,3.877829206913822,0.371219951776893
7,3.6884408227719434,3.220015934146498,4.288571126039829,3.221545739456725,4.250308256722851,0.9627603001425711,3.4805388214902337,3.877440508344478,0.37143770379421365
8,3.686518935399422,3.2179480249268577,4.286631878749675,3.2203208198229625,4.249753551208246,0.9632715303996342,3.4798712303435617,3.8770522260720486,0.3716543431508957
9,3.6845983468766756,3.215881484479319,4.284693703746637,3.2190972716167234,4.249200059869378,0.9637827577970627,3.4792052890757788,3.876664346825185,0.3718698669274838
10,3.6826790469250392,3.2138163044709493,4.28275658963306,3.2178750855722402,4.248647771245865,0.9642939834728956,3.478540989301118,3.87627685735399,0.37208427222157975
11,3.680761025278434,3.211752476581511,4.280820525025748,3.2166542524378294,4.248096673888169,0.9648052085658605,3.4778783226386913,3.8758897444302454,0.3722975561478625
12,3.6788442716835363,3.2096899925036078,4.278885498556141,3.215434762976048,4.247546756357771,0.965316434215364,3.4772172807126105,3.8755029948476283,0.3725097158381141
13,3.676928775899947,3.2076288439428384,4.276951498870501,3.214216607963848,4.246998007227364,0.9658276615614971,3.476557855152113,3.87511659542193,0.3727207484412449
14,3.6750145277003643,3.2055690226179503,4.275018514630098,3.2129997781927417,4.246450415081028,0.9663388917450131,3.475900037591693,3.87473053299128,0.37293065112331336
15,3.6731015168707506,3.203510520260991,4.273086534511389,3.211784264468954,4.245903968514419,0.9668501259073368,3.475243819671224,3.87434479441636,0.37313942106755443
16,3.671189733210505,3.2014533286174585,4.271155547206208,3.210570057613582,4.2453586561349566,0.9673613651905518,3.474589193036087,3.8739593665806273,0.3733470554743979
17,3.6692791665326276,3.199397439446452,4.269225541421942,3.20935714846275,4.244814466561996,0.9678726107373914,3.473936149337292,3.873574236390527,0.3735535515614922
18,3.6673698066638942,3.1973428445208243,4.267296505881718,3.2081455278677695,4.24427138842702,0.9683838636912396,3.473284680231608,3.8731893907757162,0.3737589065637312
19,3.6654616434450196,3.1952895356273294,4.265368429324583,3.2069351866952918,4.243729410373819,0.9688951251961211,3.4726347773816837,3.872804816689277,0.3739631177332701
20,3.6635546667308274,3.193237504566774,4.263441300505684,3.205726115827465,4.243188521058669,0.9694063963966968,3.471986432456176,3.8724205011079347,0.3741661823395519
21,3.6616488663904194,3.1911867431541676,4.261515108196455,3.2045183061620914,4.242648709150523,0.9699176784382584,3.471339637129873,3.8720364310322757,0.3743680976693278
22,3.6597442323073395,3.1891372432188687,4.259589841184792,3.2033117486127796,4.242109963331183,0.9704289724667213,3.4706943830838153,3.87165259348696,0.3745688610266784
23,3.657840754379744,3.187088996604737,4.257665488275238,3.2021064341091026,4.241572272295485,0.9709402796286195,3.470050662005426,3.8712689755209415,0.37476846973303535
24,3.6559384225205647,3.185041995170277,4.25574203828916,3.2009023535967467,4.241035624751481,0.9714516010710994,3.4694084655886277,3.870885564207678,0.3749669211272021
25,3.654037226657678,3.1829962307887905,4.25381948006493,3.1996994980376723,4.240500009420616,0.9719629379419147,3.468767785533971,3.8705023466453503,0.3751642125653752
26,3.6521371567340704,3.1809516953485213,4.251897802458104,3.198497858410262,4.239965415037914,0.9724742913894224,3.4681286135487532,3.8701193099570736,0.3753603414211649
27,3.6502382027080023,3.1789083807528025,4.249976994341604,3.197297425709477,4.239431830352151,0.972985662562571,3.467490941347146,3.869736441291114,0.3755553050856138
28,3.6483403545531736,3.1768662789202033,4.24805704460589,3.196098190947007,4.238899244126039,0.9734970526109029,3.4668547606503126,3.869353727821097,0.3757491009672197
29,3.6464436022588895,3.1748253817846748,4.246137942159145,3.1949001451514256,4.238367645136405,0.9740084626845426,3.466220063186533,3.868971156746225,0.3759417264919518
30,3.644547935830224,3.172785681295696,4.244219675927452,3.1937032793683398,4.237837022174366,0.974519893934192,3.465586840691327,3.8685887152914886,0.37613317910327326
31,3.642653345288184,3.170747169418419,4.242302234854964,3.192507584660542,4.2373073640455114,0.9750313475111274,3.4649550849075705,3.868206390707875,0.3763234562621589
32,3.640759820669873,3.1687098381338137,4.240385607904092,3.191313052108164,4.236778659570082,0.9755428245671929,3.4643247875856247,3.867824170272586,0.37651255544711465
33,3.6388673520286536,3.1666736794388126,4.238469784055673,3.1901196728088217,4.236250897583142,0.976054326254792,3.463695940483449,3.8674420412892414,0.3767004741541969
34,3.6369759294343114,3.1646386853464543,4.236554752309152,3.188927437877771,4.235724066934762,0.9765658537268845,3.463068535366727,3.867059991088095,0.3768872098970288
35,3.6350855429732154,3.1626048478860267,4.234640501682749,3.187736338448055,4.235198156490192,0.9760495006230256,3.462442564008986,3.8666780070262403,0.3770727602068212
36,3.6331961827484838,3.160572159103212,4.23272702121365,3.1865463656706554,4.234673155130042,0.9740058517894365,3.461818018191715,3.8662960764878247,0.3772571226323892
37,3.63130783888014,3.158540611060226,4.230814299958163,3.185357510714637,4.234149051750454,0.9719678181147837,3.4611948897044855,3.8659141868842526,0.3774402947401704
38,3.6294205015052796,3.156510195835964,4.228902326991907,3.1841697647673035,4.2336258352632825,0.9699353755368991,3.4605731703450733,3.8655323256543985,0.37762227411424154
39,3.627534160778227,3.1544809055261407,4.22699109140998,3.182983119034338,4.233103494596263,0.967908500113722,3.459952851919574,3.865150480264812,0.3778030583563369
40,3.625648806870697,3.15245273224343,4.225080582327132,3.181797564739956,4.232582018693196,0.9658871680225437,3.459333926242523,3.8647686382099256,0.37798264508586527
41,3.623764429971956,3.150425668117611,4.22317078887794,3.1806130931270507,4.232061396514116,0.9638713555592814,3.4587163851370177,3.8643867870122626,0.3781610319399242
